3 8 27 1 24
        1     1.000000000000000e+00     0.000000000000000e+00     0.000000000000000e+00
        2     1.000000000000000e+00     0.000000000000000e+00     5.000000000000000e-01
        3     5.000000000000000e-01     0.000000000000000e+00     0.000000000000000e+00
        4     1.000000000000000e+00     5.000000000000000e-01     0.000000000000000e+00
        5     1.000000000000000e+00     5.000000000000000e-01     5.000000000000000e-01
        6     5.000000000000000e-01     0.000000000000000e+00     5.000000000000000e-01
        7     5.000000000000000e-01     5.000000000000000e-01     0.000000000000000e+00
        8     5.000000000000000e-01     5.000000000000000e-01     5.000000000000000e-01
        9     1.000000000000000e+00     1.000000000000000e+00     0.000000000000000e+00
       10     1.000000000000000e+00     0.000000000000000e+00     1.000000000000000e+00
       11     0.000000000000000e+00     0.000000000000000e+00     0.000000000000000e+00
       12     5.000000000000000e-01     0.000000000000000e+00     1.000000000000000e+00
       13     5.000000000000000e-01     1.000000000000000e+00     0.000000000000000e+00
       14     1.000000000000000e+00     1.000000000000000e+00     5.000000000000000e-01
       15     1.000000000000000e+00     5.000000000000000e-01     1.000000000000000e+00
       16     0.000000000000000e+00     5.000000000000000e-01     0.000000000000000e+00
       17     0.000000000000000e+00     0.000000000000000e+00     5.000000000000000e-01
       18     5.000000000000000e-01     1.000000000000000e+00     5.000000000000000e-01
       19     0.000000000000000e+00     5.000000000000000e-01     5.000000000000000e-01
       20     5.000000000000000e-01     5.000000000000000e-01     1.000000000000000e+00
       21     0.000000000000000e+00     0.000000000000000e+00     1.000000000000000e+00
       22     1.000000000000000e+00     1.000000000000000e+00     1.000000000000000e+00
       23     0.000000000000000e+00     1.000000000000000e+00     0.000000000000000e+00
       24     5.000000000000000e-01     1.000000000000000e+00     1.000000000000000e+00
       25     0.000000000000000e+00     1.000000000000000e+00     5.000000000000000e-01
       26     0.000000000000000e+00     5.000000000000000e-01     1.000000000000000e+00
       27     0.000000000000000e+00     1.000000000000000e+00     1.000000000000000e+00
1 1
        1   8
        2   8
        3   8
        4   8
        5   8
        6   8
        7   8
        8   8
        1   1         8        20        26        19         6        12        21        17
        2   1         7         8        19        16         3         6        17        11
        3   1         5        15        20         8         2        10        12         6
        4   1         4         5         8         7         1         2         6         3
        5   1        18        24        27        25         8        20        26        19
        6   1        13        18        25        23         7         8        19        16
        7   1        14        22        24        18         5        15        20         8
        8   1         9        14        18        13         4         5         8         7
1 1 6 17 21 12 1 B 0 0
2 1 20 12 21 26 1 B 0 0
3 1 26 21 17 19 1 B 0 0
4 2 7 16 11 3 1 B 0 0
5 2 3 11 17 6 1 B 0 0
6 2 19 17 11 16 1 B 0 0
7 3 15 10 12 20 1 B 0 0
8 3 2 6 12 10 1 B 0 0
9 3 5 2 10 15 1 B 0 0
10 4 4 7 3 1 1 B 0 0
11 4 4 1 2 5 1 B 0 0
12 4 1 3 6 2 1 B 0 0
13 5 27 26 19 25 1 B 0 0
14 5 24 20 26 27 1 B 0 0
15 5 18 24 27 25 1 B 0 0
16 6 13 23 16 7 1 B 0 0
17 6 13 18 25 23 1 B 0 0
18 6 25 19 16 23 1 B 0 0
19 7 14 22 24 18 1 B 0 0
20 7 14 5 15 22 1 B 0 0
21 7 22 15 20 24 1 B 0 0
22 8 9 14 18 13 1 B 0 0
23 8 9 4 5 14 1 B 0 0
24 8 9 13 7 4 1 B 0 0
