3 2 12 1 10
        1     1.000000000000000e+00     0.000000000000000e+00     0.000000000000000e+00
        2     1.000000000000000e+00     0.000000000000000e+00     5.000000000000000e-01
        3     5.000000000000000e-01     0.000000000000000e+00     0.000000000000000e+00
        4     1.000000000000000e+00     5.000000000000000e-01     0.000000000000000e+00
        5     1.000000000000000e+00     5.000000000000000e-01     5.000000000000000e-01
        6     5.000000000000000e-01     0.000000000000000e+00     5.000000000000000e-01
        7     5.000000000000000e-01     5.000000000000000e-01     0.000000000000000e+00
        8     5.000000000000000e-01     5.000000000000000e-01     5.000000000000000e-01
       9     0.000000000000000e+00     0.000000000000000e+00     0.000000000000000e+00
       10     0.000000000000000e+00     5.000000000000000e-01     0.000000000000000e+00
       11     0.000000000000000e+00     0.000000000000000e+00     5.000000000000000e-01
       12     0.000000000000000e+00     5.000000000000000e-01     5.000000000000000e-01
1 1
        1   8
        2   8
        2   1         7         8        12        10         3         6        11        9
        4   1         4         5         8         7         1         2         6         3
1 1 7 10 9 3 1 B 0 0
2 1 3 9 11 6 1 B 0 0
3 1 12 11 9 10 1 B 0 0
4 2 4 7 3 1 1 B 0 0
5 2 4 1 2 5 1 B 0 0
6 2 1 3 6 2 1 B 0 0
7 1 10 7 8 12 1 B 0 0
8 1 8 12 11 6 1 B 0 0
9 2 8 7 4 5 1 B 0 0
10 2 6 2 5 8 1 B 0 0
